Node1,Node2,Lat1,Lon1,Lat2,Lon2,Distance,Risk
2376384572,2376384571,40.7494602,-74.0090297,40.7494328,-74.0090318,0.218548483,0.178337176
2376384572,2376384574,40.7494602,-74.0090297,40.7494884,-74.0090222,0.22700824,0.181010056
2376384574,2376384572,40.7494884,-74.0090222,40.7494602,-74.0090297,0.22700824,0.181010056
2376384574,246651637,40.7494884,-74.0090222,40.7495378,-74.0089931,0.351194991,0.187707042
2376384575,246580064,40.7495192,-74.0086323,40.7494691,-74.008503,0.639551653,0.342849954
2376384575,2376384577,40.7495192,-74.0086323,40.7495394,-74.0086926,0.376324149,0.297216099
373895089,246647920,40.7391411,-74.0098855,40.7392972,-74.0098512,0.706323812,2.683046238
373895089,246647919,40.7391411,-74.0098855,40.7389854,-74.0099195,0.70491107,2.763613681
2376384578,2376384577,40.7495587,-74.0087724,40.7495394,-74.0086926,0.446501507,0.272484467
2376384578,2376384579,40.7495587,-74.0087724,40.7495957,-74.0089518,0.777626471,0.240656804
2376384579,246650842,40.7495957,-74.0089518,40.7496552,-74.0089094,0.412963479,0.214018484
2376384579,2376384578,40.7495957,-74.0089518,40.7495587,-74.0087724,0.777626471,0.240656804
2376384579,246651637,40.7495957,-74.0089518,40.7495378,-74.0089931,0.405363274,0.199483452
2376384580,373910553,40.7496792,-74.0083735,40.7498237,-74.0084243,0.685563225,0.511168088
2376384580,246579748,40.7496792,-74.0083735,40.7495271,-74.0083007,0.733466708,0.525160747
2376384581,246650842,40.7497491,-74.008836,40.7496552,-74.0089094,0.57582727,0.2392146
2376384581,2376384583,40.7497491,-74.008836,40.7497863,-74.0088078,0.307067345,0.257370292
2376384583,2376384584,40.7497863,-74.0088078,40.7498077,-74.0087948,0.205807607,0.266627651
2376384583,2376384581,40.7497863,-74.0088078,40.7497491,-74.008836,0.307067345,0.257370292
2376384584,2376384586,40.7498077,-74.0087948,40.7498423,-74.0087789,0.269101994,0.274471259
2376384584,2376384583,40.7498077,-74.0087948,40.7497863,-74.0088078,0.205807607,0.266627651
2376384586,2376384584,40.7498423,-74.0087789,40.7498077,-74.0087948,0.269101994,0.274471259
2376384586,2376384589,40.7498423,-74.0087789,40.7499294,-74.008747,0.485131992,0.28958015
2376384588,2208862760,40.7499011,-74.0086136,40.749854,-74.0086095,0.309636468,0.367717582
2376384588,246651359,40.7499011,-74.0086136,40.7500128,-74.0086123,0.550700091,0.37310599
2376384589,2376384593,40.7499294,-74.008747,40.7500057,-74.0087311,0.430979771,0.303919909
2376384589,2376384586,40.7499294,-74.008747,40.7498423,-74.0087789,0.485131992,0.28958015
2376384590,2376384593,40.7499572,-74.0095399,40.7500057,-74.0087311,2.338950644,0.28417383
2376384590,2376384564,40.7499572,-74.0095399,40.7493394,-74.0097742,1.999214107,0.121675319
2376384593,2376384595,40.7500057,-74.0087311,40.750081,-74.0087153,0.427251533,0.314316139
2376384593,2376384589,40.7500057,-74.0087311,40.7499294,-74.008747,0.430979771,0.303919909
2376384593,2376384590,40.7500057,-74.0087311,40.7499572,-74.0095399,2.338950644,0.28417383
2376384593,246651359,40.7500057,-74.0087311,40.7500128,-74.0086123,0.575253701,0.352483109
42451026,589100228,40.7360546,-73.9752275,40.7357801,-73.9752119,1.040383318,0.500496539
42451026,42451028,40.7360546,-73.9752275,40.7362302,-73.9752103,0.757289886,0.564829042
2376384595,2376384593,40.750081,-74.0087153,40.7500057,-74.0087311,0.427251533,0.314316139
2376384595,2376384597,40.750081,-74.0087153,40.7501616,-74.0087091,0.441720241,0.320882362
42451028,42451026,40.7362302,-73.9752103,40.7360546,-73.9752275,0.757289886,0.564829042
42451028,42451030,40.7362302,-73.9752103,40.7363667,-73.9751846,0.640293428,0.617763558
2376384597,2376384600,40.7501616,-74.0087091,40.7504198,-74.0087059,0.994162553,0.318794138
2376384597,2376384595,40.7501616,-74.0087091,40.750081,-74.0087153,0.441720241,0.320882362
42451030,42451035,40.7363667,-73.9751846,40.7365423,-73.9751503,0.76479488,0.665786046
42451030,42451028,40.7363667,-73.9751846,40.7362302,-73.9752103,0.640293428,0.617763558
2376384600,2376384601,40.7504198,-74.0087059,40.750422,-74.008738,0.241580111,0.305754119
2376384600,2208862794,40.7504198,-74.0087059,40.7504143,-74.0086267,0.436548248,0.339111884
2376384600,2376384603,40.7504198,-74.0087059,40.7504872,-74.008705,0.391147749,0.310387705
2376384600,2376384597,40.7504198,-74.0087059,40.7501616,-74.0087091,0.994162553,0.318794138
42431844,42435578,40.7369124,-74.0055457,40.737548,-74.00483,2.662746327,0.583691567
42431844,247403147,40.7369124,-74.0055457,40.7370312,-74.0056895,0.787675531,0.748445179
42431844,1701920959,40.7369124,-74.0055457,40.7367899,-74.0056877,0.790700018,0.845131472
42431844,2076944990,40.7369124,-74.0055457,40.7369204,-74.0056743,0.607736679,0.778640089
42431844,42431839,40.7369124,-74.0055457,40.7368508,-74.0054762,0.48548733,0.639480697
2376384602,246579744,40.7504553,-74.0084685,40.7505847,-74.008449,0.614303655,0.459324402
2376384602,246580797,40.7504553,-74.0084685,40.7503258,-74.0084779,0.610977606,0.469401524
2376384603,2376384600,40.7504872,-74.008705,40.7504198,-74.0087059,0.391147749,0.310387705
2376384603,2376384604,40.7504872,-74.008705,40.7505095,-74.008706,0.191591558,0.30619434
2376384604,2376384616,40.7505095,-74.008706,40.7512492,-74.0087457,2.182519894,0.281915658
2376384604,2376384609,40.7505095,-74.008706,40.7506259,-74.0089847,1.114000966,0.281450749
2376384604,2376384603,40.7505095,-74.008706,40.7504872,-74.008705,0.191591558,0.30619434
2376384606,2376384608,40.7505778,-74.0094156,40.7506155,-74.0095487,0.638488237,0.129801048
2376384606,2376384601,40.7505778,-74.0094156,40.750422,-74.008738,2.078783263,0.274106071
2376384607,2208862794,40.7505825,-74.0086018,40.7504143,-74.0086267,0.737777663,0.354006244
2376384607,246580059,40.7505825,-74.0086018,40.7506817,-74.0085815,0.514841836,0.348028793
2376384608,2376384610,40.7506155,-74.0095487,40.7506539,-74.0096843,0.646812013,0.118622508
2376384608,2376384606,40.7506155,-74.0095487,40.7505778,-74.0094156,0.638488237,0.129801048
2376384609,2376384616,40.7506259,-74.0089847,40.7512492,-74.0087457,2.014965908,0.200963991
2376384609,2376384604,40.7506259,-74.0089847,40.7505095,-74.008706,1.114000966,0.281450749
2376384609,2376384613,40.7506259,-74.0089847,40.7509049,-74.0096528,2.144450615,0.189329837
2376384610,2376384608,40.7506539,-74.0096843,40.7506155,-74.0095487,0.646812013,0.118622508
2376384610,2376384615,40.7506539,-74.0096843,40.7510438,-74.0106237,2.792426988,0.109928089
2709430371,1025399714,40.7511113,-73.9912733,40.7511627,-73.9913871,0.59467441,0.969748051
2709430371,2709430332,40.7511113,-73.9912733,40.7506382,-73.9916171,1.821702333,2.560296684
2376384612,247072736,40.7508283,-74.0083804,40.7516387,-74.0080918,2.450129124,0.398986758
2376384612,246579744,40.7508283,-74.0083804,40.7505847,-74.008449,0.97981323,0.446601561
2376384613,2376384617,40.7509049,-74.0096528,40.751274,-74.0105367,2.664223099,0.108606375
2376384613,2376384609,40.7509049,-74.0096528,40.7506259,-74.0089847,2.144450615,0.189329837
247119974,2376384635,40.7644002,-73.998863,40.7643569,-73.9989155,0.39385315,0.102183834
247119974,2376384636,40.7644002,-73.998863,40.7644705,-73.9987779,0.546199732,0.104605722
2376384615,2376384617,40.7510438,-74.0106237,40.751274,-74.0105367,0.960235379,0.08866922
2376384615,2376384610,40.7510438,-74.0106237,40.7506539,-74.0096843,2.792426988,0.109928089
2376384616,2376384609,40.7512492,-74.0087457,40.7506259,-74.0089847,2.014965908,0.200963991
2376384616,2376384618,40.7512492,-74.0087457,40.7517463,-74.008555,1.696739179,0.205855889
2376384616,2376384604,40.7512492,-74.0087457,40.7505095,-74.008706,2.182519894,0.281915658
2376384617,2376384613,40.751274,-74.0105367,40.7509049,-74.0096528,2.664223099,0.108606375
2376384617,2376384615,40.751274,-74.0105367,40.7510438,-74.0106237,0.960235379,0.08866922
2376384618,2376384616,40.7517463,-74.008555,40.7512492,-74.0087457,1.696739179,0.205855889
